id	ident	type	name	latitude_deg	longitude_deg	elevation_ft	iso_country	iso_region	municipality	icao_code	iata_code	gps_code	local_code
569411	US-9160	small_airport	Anderson Airport	38.72477	-119.33397	5005	US	US-NV	Smith				
569456	US-9164	small_airport	Klamar Field Number 2	48.39376	-95.82455	1156	US	US-MN	Gatzke				
570133	US-9167	small_airport	Huckins Ranch Airport	45.215222	-105.734294	3232	US	US-MT	Broadus				
570386	US-9169	small_airport	Lucy Ranch Airport	30.40835	-98.74524	1754	US	US-TX	Stonewall				
570577	US-9171	small_airport	Cade Ranch Airport	32.43296	-95.95018	531	US	US-TX	Canton				
570579	US-9172	small_airport	Putman Ranch Airport	32.97904	-94.58264	433	US	US-TX	Hughes Springs				
570581	US-9173	small_airport	Austin Paramotor Flight School	30.17959	-97.50083	407	US	US-TX	Cedar Creek				
570595	US-9177	small_airport	Allen Brothers Farm Airport	34.30785	-91.93847	209	US	US-AR	Sherrill				
570621	US-9183	small_airport	Pinnacle Delta Airport	34.72656	-91.9301	227	US	US-AR	Lonoke				
570634	US-9186	small_airport	Pack Airport	34.79709	-91.9165	239	US	US-AR	Lonoke				
570635	US-9187	small_airport	Staton Airport	34.64891	-91.83622	210	US	US-AR	Lonoke				
570639	US-9189	small_airport	Sellmeyer Brothers Airport	36.3003	-90.57112	284	US	US-AR	Knobel				
570696	US-9193	small_airport	Genesee Airport	46.54055	-116.8866	2722	US	US-ID	Nez Perce				
570704	US-9195	small_airport	Ray Brothers Airport	34.74405	-91.24202	182	US	US-AR	Brinkley				
570713	US-9196	small_airport	Seltice Airport	47.15623	-117.06956	2567	US	US-WA	Seltice				
570715	US-9197	small_airport	Carey Airport	35.11731	-90.48981	200	US	US-AR	Heth				
571475	US-9217	small_airport	Madrono Farm Airport	29.92083	-99.30504	1762	US	US-TX	Ingram				
571630	US-9222	small_airport	Kingfisher Ranch Airport	29.72863	-99.54575	1574	US	US-TX	Utopia				
571641	US-9225	small_airport	Kelley Ranch Airport	32.27683	-109.90666	4198	US	US-AZ	Willcox				
571642	US-9226	small_airport	Deer Creek Crossing Airport	29.62558	-99.43065	1483	US	US-TX	Utopia				
571644	US-9227	small_airport	Roney Ranch Airport	29.79698	-99.30833	1532	US	US-TX	Medina				
571646	US-9228	small_airport	Black Stump Draw Airport	29.78016	-100.15297	1692	US	US-TX	Rocksprings				
571704	US-9231	small_airport	Sunset Ranch Airport	29.539657	-98.952187	1189	US	US-TX	Mico			13TT	13TT
571712	US-9236	small_airport	Clark Airport	32.34615	-109.92273	4228	US	US-AZ	Willcox				
571715	US-9237	small_airport	Potts Airport	33.39651	-98.36522	1058	US	US-TX	Jacksboro				
571722	US-9239	small_airport	Wear Ranch Airport	32.03074	-109.45499	4977	US	US-AZ	Willcox				
571855	US-9240	small_airport	Loving Ranch Airport	33.27287	-98.42742	1166	US	US-TX	Jermyn				
571875	US-9243	small_airport	Hendrickson Airport	46.37093	-92.60013	1139	US	US-MN	Duquette				
571885	US-9245	small_airport	Ronning Ranch Airport	46.82718	-106.24957	2963	US	US-MT	Miles City				
571892	US-9249	small_airport	Anderson Private Field	48.09603	-105.6523	2043	US	US-MT	Wolf Point				
571902	US-9250	small_airport	Yellow Dog Airport	33.231054	-90.566482	114	US	US-MS	Isola			38MS	38MS
572035	US-9252	small_airport	Deppe Airport	34.85332	-77.31424	46	US	US-NC	Maysville				
572037	US-9253	small_airport	Highsmith Airport	34.52816	-78.089	57	US	US-NC	Burgaw				
572122	US-9254	small_airport	Racer Ag Service Airport	34.80141	-91.01746	204	US	US-AR	Moro				
572514	US-9256	small_airport	Jim's Crop Care Airport	35.29247	-91.08031	224	US	US-AR	McCrory				
572517	US-9257	small_airport	Wixson Airport	35.5065	-91.00634	224	US	US-AR	Fisher				
572522	US-9259	small_airport	Eagle Ag Airport	34.99329	-91.64618	206	US	US-AR	Des Arc				
574320	US-9263	small_airport	Medella Bison Ranch Airport	42.212576	-122.722839	1761	US	US-OR	Ashland			40OR	40OR
574344	US-9264	small_airport	OMS UAS Test Range Airport	35.440995	-113.814876	3396	US	US-AZ	Kingman			53AZ	53AZ
574551	US-9272	small_airport	Lamascus Airport	36.01455	-121.15942	1222	US	US-CA	King City				
574557	US-9273	small_airport	MRW Farms Airfield	40.686137	-104.799728	5175	US	US-CO	Nunn			75CO	75CO
574719	US-9276	small_airport	Shkyview Airport	37.755582	-105.157907	7064	US	US-CO	Gardner			CD05	CD05
